HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	FemaleMaturity_days	Male maturity_days	GestationPerIncubation_days	Weaning_days	LitterPerClutchSize	LittersPerClutchesPerYear	InterlitterPerInterbirthInterval	Birth weight_g	Weaning weight_g	AdultWeight_g	GrowthRatePerDay	MaximumLong_Years	Source	SpecimenOrigin	SampleSize	DataQuality	IMRperYear	MRDT_yrs	MetabolicRate_W	BodyMass_g	Temperature_K
564	Animalia	Chordata	Aves	Galliformes	Megapodiidae	Macrocephalon	maleo										1564		23	1	captivity	medium	acceptable					
565	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	meleagris			27		9					1299				unknown	medium	low					
566	Animalia	Chordata	Aves	Galliformes	Odontophoridae	Callipepla	californica	274	274	22		14	1		6		138		9.6		unknown	medium	acceptable					
567	Animalia	Chordata	Aves	Galliformes	Odontophoridae	Callipepla	gambelii	365	365	22		11	1				166		7.4	576	wild	medium	acceptable			0.755	126.1	
568	Animalia	Chordata	Aves	Galliformes	Odontophoridae	Colinus	virginianus	365	365	23		15	1.5				194		6.4	445	wild	medium	acceptable					
569	Animalia	Chordata	Aves	Galliformes	Phasianidae	Alectoris	rufa										528		6.2	575	captivity	medium	acceptable					
570	Animalia	Chordata	Aves	Galliformes	Phasianidae	Bonasa	umbellus	120	120	24		11	1		12		532	0.068	11		unknown	medium	acceptable	0.55		2.3894	644	
571	Animalia	Chordata	Aves	Galliformes	Phasianidae	Centrocercus	urophasianus	365	365	26		7	1		30.5		1929.5		7		unknown	medium	acceptable					
572	Animalia	Chordata	Aves	Galliformes	Phasianidae	Chrysolophus	amherstiae			24							738		19.6	986	captivity	medium	acceptable					
573	Animalia	Chordata	Aves	Galliformes	Phasianidae	Chrysolophus	pictus	365	365	22		10					625		13.4	986	captivity	large	questionable					
574	Animalia	Chordata	Aves	Galliformes	Phasianidae	Coturnix	chinensis										45		5	952	unknown	medium	questionable					
575	Animalia	Chordata	Aves	Galliformes	Phasianidae	Coturnix	coturnix	365	365								96.5	0.102	14.6	450	wild	medium	acceptable			0.891	97	
576	Animalia	Chordata	Aves	Galliformes	Phasianidae	Coturnix	japonica	63	52	17							115	0.111	6		unknown	medium	acceptable	0.07	1.2			
577	Animalia	Chordata	Aves	Galliformes	Phasianidae	Dendragapus	obscurus	365	365	26		8	1		22.6		1058.5	0.078	14	1	wild	medium	acceptable			4.957	1131	
578	Animalia	Chordata	Aves	Galliformes	Phasianidae	Falcipennis	canadensis	365	365	20		5			15		417.3	0.08	13	1	wild	medium	acceptable					
579	Animalia	Chordata	Aves	Galliformes	Phasianidae	Francolinus	francolinus			19		7	2		12.5		453		7	445	wild	medium	acceptable					
580	Animalia	Chordata	Aves	Galliformes	Phasianidae	Francolinus	pondicerianus			18		7.5	2.5				334		8	445	wild	medium	acceptable					
581	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	gallus										779.8	0.037	30	1	captivity	large	acceptable			6.005	2710	
582	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus	365	365	21		6	1		14.72		595.875	0.101	9	450	wild	small	acceptable			2.872	567	
583	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	leucura		365	23		6	1		12.9		326		15	1	wild	small	acceptable					
584	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	muta										535.5				unknown	small	low					
585	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lyrurus	tetrix	365	365								1079	0.068	12.2	450	wild	medium	acceptable					
586	Animalia	Chordata	Aves	Galliformes	Phasianidae	Meleagris	gallopavo	304	365	28		11	1		47		6050	0.023	13	1	wild	medium	acceptable					
587	Animalia	Chordata	Aves	Galliformes	Phasianidae	Pavo	cristatus	730	730	29		5			120		4200	0.03	23.2	575	captivity	large	acceptable	0.06	2.2			
588	Animalia	Chordata	Aves	Galliformes	Phasianidae	Perdix	perdix	365	365	24		16			10		492	0.092	5.2	1	wild	medium	acceptable			2.1783	501	
589	Animalia	Chordata	Aves	Galliformes	Phasianidae	Phasianus	colchicus	240	240	24		11	1		18.5		1094.8	0.043	27	575	captivity	large	high					
590	Animalia	Chordata	Aves	Galliformes	Phasianidae	Polyplectron	napoleonis	730	365	19		2					550		15	448	unknown	medium	acceptable					
591	Animalia	Chordata	Aves	Galliformes	Phasianidae	Syrmaticus	reevesii										1239		9.2	2	unknown	medium	acceptable	0.02	1.6			
592	Animalia	Chordata	Aves	Galliformes	Phasianidae	Tetrao	urogallus	1095	1095								2950	0.066	18	1	captivity	medium	acceptable			11.816	4010	
593	Animalia	Chordata	Aves	Galliformes	Phasianidae	Tetrastes	bonasia										429	0.084	7.2	450	wild	medium	acceptable					
594	Animalia	Chordata	Aves	Galliformes	Phasianidae	Tympanuchus	cupido	365	183	23		13	1		11.5		908		5		unknown	medium	acceptable					
595	Animalia	Chordata	Aves	Galliformes	Phasianidae	Tympanuchus	pallidicinctus	365	183	23		11	1				794.5		13.5	576	wild	small	acceptable					
596	Animalia	Chordata	Aves	Galliformes	Phasianidae	Tympanuchus	phasianellus	180	180	23		12	1		12.8		908	0.064	7.5		unknown	medium	acceptable					
597	Animalia	Chordata	Aves	Gaviiformes	Gaviidae	Gavia	adamsii	1095	1095			2					5050				unknown	small	low					
598	Animalia	Chordata	Aves	Gaviiformes	Gaviidae	Gavia	arctica	1095	1095	29		1.74	2		72.33		2724		28	1	wild	medium	acceptable					
599	Animalia	Chordata	Aves	Gaviiformes	Gaviidae	Gavia	immer	1461	1461	28		2	1		93.9		3405		24.1	427	wild	medium	acceptable					
600	Animalia	Chordata	Aves	Gaviiformes	Gaviidae	Gavia	stellata	1095	1095	28		2	1		54.8		1816		24	553	unknown	medium	acceptable					
601	Animalia	Chordata	Aves	Gruiformes	Gruidae	Anthropoides	virgo	730	730	28		2					2400	0.084	27	448	captivity	large	high					
602	Animalia	Chordata	Aves	Gruiformes	Gruidae	Balearica	regulorum	1095	1095	30							3372		27.2	986	captivity	large	acceptable					
603	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	americana	1460	1460	31		2			150		7500	0.072	40	445	captivity	medium	acceptable					
604	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	antigone			32							8663		41.8	986	captivity	medium	acceptable					
605	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	canadensis	1095	1095	29		2	1		114.2		3890	0.047	36.6	427	wild	medium	acceptable					
606	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	grus	1825	1825								5500	0.054	43	444	wild	medium	acceptable					
607	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	japonensis	1095	1095	31		2					8500	0.049	25.2	575	captivity	medium	acceptable					
608	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	leucogeranus										5931	0.074	36.2	575	captivity	medium	acceptable					
609	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	monacha	1040	1040								3700	0.066	24	575	captivity	small	acceptable					
610	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	rubicunda										6250.5		33	575	captivity	medium	acceptable					
611	Animalia	Chordata	Aves	Gruiformes	Gruidae	Grus	vipio	1095	1095	31		2					5400	0.057	45	448	captivity	medium	acceptable					
612	Animalia	Chordata	Aves	Gruiformes	Rallidae	Fulica	americana	365	365	23		10	2		20.5		450.8	0.06	22.3	577	wild	large	acceptable					
613	Animalia	Chordata	Aves	Gruiformes	Rallidae	Fulica	atra	365	365								734.3	0.174	20.6	450	wild	medium	acceptable			2.039	412	
614	Animalia	Chordata	Aves	Gruiformes	Rallidae	Gallinula	chloropus	365	365	19		9	2		11.3		392		18.6	450	wild	medium	acceptable					
615	Animalia	Chordata	Aves	Gruiformes	Rallidae	Gallirallus	australis										899.3		13.8	575	captivity	small	acceptable					
616	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus	aquaticus	365	365								111.5	0.114	8.9	450	wild	medium	acceptable					
617	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus	longirostris	365	365	22		10	2				308		7.5	576	wild	medium	acceptable					
618	Animalia	Chordata	Aves	Musophagiformes	Musophagidae	Tauraco	leucotis										265		12.4	575	captivity	medium	acceptable					
619	Animalia	Chordata	Aves	Otidiformes	Otididae	Chlamydotis	undulata										1555				unknown	medium	low					
620	Animalia	Chordata	Aves	Otidiformes	Otididae	Otis	tarda										7895.5	0.047	28.3	575	captivity	medium	acceptable					
621	Animalia	Chordata	Aves	Passeriformes	Acanthizidae	Sericornis	frontalis	365	365								13.4		17.6	958	wild	large	acceptable					
622	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	arundinaceus	365	365								30		10.1	450	wild	medium	acceptable			0.257	21.9	
623	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	dumetorum										11.2		7.8	450	wild	medium	acceptable					
624	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	familiaris										18.3				unknown	small	low					
625	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	melanopogon	365	365								10.9		11.2	450	wild	medium	acceptable					
626	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	palustris	365	365								11.5		9.8	729	wild	medium	acceptable			0.203	10.8	
627	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	schoenobaenus	365	365								11.8		11.8	450	wild	medium	acceptable			0.218	11.5	
628	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	scirpaceus	365	365								12.3	0.536	14	450	wild	medium	acceptable					
629	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	sechellensis										15.9		17	1133	wild	medium	acceptable					
630	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	stentoreus										24.2		10.6	450	wild	medium	acceptable					
631	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Hippolais	icterina	365	365								13.2		10.8	450	wild	medium	acceptable			0.252	12.5	
632	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Hippolais	polyglotta	365	365								11		8.9	450	wild	medium	acceptable					
633	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Iduna	pallida	365	365								9		7.9	450	wild	medium	acceptable					
634	Animalia	Chordata	Aves	Passeriformes	Aegithalidae	Aegithalos	caudatus	365	365								8.6		11.1	450	wild	medium	acceptable			0.199	8.9	
635	Animalia	Chordata	Aves	Passeriformes	Aegithalidae	Psaltriparus	minimus	365	365	12		6	2				5.3		9.1	427	wild	small	acceptable			0.122375	5.5	
636	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Alauda	arvensis	365	365	11		3	1				37.5	0.605	10.1	450	wild	medium	acceptable			0.722	31.7	
637	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Eremophila	alpestris	365	365	11		43	1.5		2.74		33.5	0.504	8	577	wild	medium	acceptable			0.3133	26	
638	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Galerida	cristata	365	365								42.9		11.6	450	wild	medium	acceptable					
639	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Lullula	arborea	365	365								26.9		6	553	wild	medium	acceptable			0.572	25.5	
640	Animalia	Chordata	Aves	Passeriformes	Bombycillidae	Bombycilla	cedrorum	365	365	14		4	2		3.1		30	0.52	8.2	427	wild	medium	acceptable					
641	Animalia	Chordata	Aves	Passeriformes	Bombycillidae	Bombycilla	garrulus	365	365	14		5	1				54.5		13.5	450	wild	medium	acceptable			0.9566	72.5	
642	Animalia	Chordata	Aves	Passeriformes	Calcariidae	Calcarius	lapponicus			12		5	1		2.3		28.35	0.604	6	580	wild	medium	acceptable					
643	Animalia	Chordata	Aves	Passeriformes	Calcariidae	Calcarius	pictus	365	365	12		4	1		2.6		26.65		5	1	wild	medium	acceptable					
644	Animalia	Chordata	Aves	Passeriformes	Calcariidae	Plectrophenax	hyperboreus					4					42		4.8	580	wild	medium	acceptable					
645	Animalia	Chordata	Aves	Passeriformes	Calcariidae	Plectrophenax	nivalis	365	365	12		5	1		3		41.8	0.576	9.6	427	wild	medium	acceptable					
646	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	cardinalis	365	365	12		3	2		3.5		42.6	0.516	28.5		unknown	medium	acceptable			0.5163	41	
647	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	sinuatus	365	365	14		3	1				35.2				unknown	tiny	low			0.396495	32	
648	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cyanocompsa	parellina										15.7		10.8	427	wild	medium	acceptable					
649	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Passerina	amoena	365	365	12		4	1		1.3		15.15		9.9	427	wild	small	acceptable					
650	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Passerina	caerulea	365	365	11		4	1.5				28.4		10.2	427	wild	tiny	acceptable					
651	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Passerina	ciris	365	365	11		4	2		2		14.75		12		unknown	medium	acceptable					
652	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Passerina	cyanea	365	365	12		3.5	1		2.1		15		11	1	wild	medium	acceptable					
653	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Pheucticus	ludovicianus	365	365	12		4	1		4.5		47.325		24		unknown	medium	acceptable					
654	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Pheucticus	melanocephalus	365	365	12		3	1		3		42		25	445	captivity	small	acceptable					
655	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Piranga	ludoviciana	365	365	13		4	1				30		15.3		unknown	medium	acceptable					
656	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Piranga	olivacea	365	365	13		4	1		2.97		29		11.9	427	wild	medium	acceptable					
657	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Piranga	rubra	365	365	12		4	1.5		4.2		40		7.9	427	wild	small	acceptable					
658	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Spiza	americana	365	365	12		4	1				33		4.8	427	wild	medium	acceptable					
659	Animalia	Chordata	Aves	Passeriformes	Certhiidae	Certhia	americana	365	365								8.4				unknown	small	low					
660	Animalia	Chordata	Aves	Passeriformes	Certhiidae	Certhia	brachydactyla	365	365								8.2				unknown	tiny	low					
661	Animalia	Chordata	Aves	Passeriformes	Certhiidae	Certhia	familiaris	365	365								9.1		8.2	450	wild	medium	acceptable					
662	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Cettia	cetti	365	365								13.3		9.3	553	wild	medium	acceptable					
663	Animalia	Chordata	Aves	Passeriformes	Cinclidae	Cinclus	cinclus	365	365								61.7		10.6	450	wild	large	acceptable					
664	Animalia	Chordata	Aves	Passeriformes	Cinclidae	Cinclus	mexicanus	365	365			4	1.5				50.2		8.1	427	wild	medium	acceptable					
665	Animalia	Chordata	Aves	Passeriformes	Coerebidae	Coereba	flaveola										10.1		8.6	427	wild	medium	acceptable					
666	Animalia	Chordata	Aves	Passeriformes	Corcoracidae	Corcorax	melanoramphos										364		16.3	575	captivity	small	acceptable					
667	Animalia	Chordata	Aves	Passeriformes	Corcoracidae	Struthidea	cinerea										132		25	575	captivity	small	acceptable					
668	Animalia	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	californica			18		4	1		5.4		88.7		15.8	445	wild	medium	acceptable					
669	Animalia	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	coerulescens	365	365	17		4	1		4.2		78.7	0.335	15	427	wild	medium	acceptable					
670	Animalia	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	insularis	365	365	18		4	1				114		15.3	445	wild	medium	acceptable					
671	Animalia	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	ultramarina			18		4	1		6		130		25	972	captivity	medium	acceptable					
672	Animalia	Chordata	Aves	Passeriformes	Corvidae	Coloeus	monedula	730	730								246	0.269	20.3	450	wild	medium	acceptable					
673	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	brachyrhynchos	730	730	18		5	1		15.6		384.8	0.172	20		unknown	medium	acceptable					
674	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	caurinus	730	730	18		4	1		13.5		294	0.298	16.7	427	wild	small	acceptable					
675	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	corax	1095	1095	19		5	1		25		1041.2		69	450	captivity	medium	acceptable			5.5656	1203	
676	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	cornix											0.242	16.8	575	captivity	small	acceptable					
677	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	corone	1095	1095								472.7	0.282	19.2	450	wild	medium	acceptable			3.3531	518	
678	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	coronoides										645		21.8	575	captivity	tiny	acceptable					
679	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	cryptoleucus			21		5	1		14.4		534	0.252	21.8	427	wild	small	acceptable			3.86705	640	
680	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	frugilegus	730	730								453.5		22.9	450	wild	medium	acceptable			2.6433	390	
681	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	hawaiiensis	730	1460	20		3	1				520		25	445	wild	medium	acceptable					
682	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	ossifragus	730	730	17		4	1				418		14.5	579	wild	small	acceptable					
683	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta	cristata	365	365	17		4	1		5.5		80.8		26.2	445	captivity	small	acceptable					
684	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta	stelleri	365	365	16		4	1				99.1		16.1	577	wild	medium	acceptable					
685	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocorax	caeruleus										272		36	1	captivity	tiny	acceptable					
686	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocorax	yncas	365	365	17		4	1.5				78.5				unknown	small	low					
687	Animalia	Chordata	Aves	Passeriformes	Corvidae	Garrulus	glandarius	365	365								159.7		17.9	729	wild	medium	acceptable			1.39997	153	
688	Animalia	Chordata	Aves	Passeriformes	Corvidae	Gymnorhinus	cyanocephalus	365	365	17		4	1		6.26		105	0.303	14.6	427	wild	medium	acceptable					
689	Animalia	Chordata	Aves	Passeriformes	Corvidae	Nucifraga	caryocatactes	365	365								183	0.28	16.2	450	wild	medium	acceptable			1.346	147	
690	Animalia	Chordata	Aves	Passeriformes	Corvidae	Nucifraga	columbiana	365	365	18		2.5	1		7.1		130		17.4	579	wild	small	acceptable					
691	Animalia	Chordata	Aves	Passeriformes	Corvidae	Perisoreus	canadensis	365	365	17		3	1		5.7		70.3		19.2	579	wild	small	acceptable					
692	Animalia	Chordata	Aves	Passeriformes	Corvidae	Perisoreus	infaustus										84.4		17.9	450	wild	medium	acceptable					
693	Animalia	Chordata	Aves	Passeriformes	Corvidae	Pica	hudsonia	365	730	18		6.5	1				177		20	445	captivity	medium	acceptable			1.196	158.9	
694	Animalia	Chordata	Aves	Passeriformes	Corvidae	Pica	nuttalli	365	365	18		6.5	1		6.9		159		10	1	wild	medium	questionable			1.471	151.9	
695	Animalia	Chordata	Aves	Passeriformes	Corvidae	Pica	pica	730	730	21							178	0.293	21.7	450	wild	medium	acceptable					
696	Animalia	Chordata	Aves	Passeriformes	Corvidae	Pyrrhocorax	graculus	1095	1095								211.5		24.4	450	wild	medium	acceptable					
697	Animalia	Chordata	Aves	Passeriformes	Corvidae	Pyrrhocorax	pyrrhocorax	730	730								277.8	0.275	20.3	575	captivity	medium	acceptable					
698	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Rupicola	rupicola										195		7	575	captivity	small	acceptable					
699	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Aimophila	ruficeps	365	365	12		3	2				18.8		5.1	427	wild	medium	acceptable					
700	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	bairdii					4.5					19				unknown	small	low					
701	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	caudacutus	365	365	11		4			1.63		16.5	0.56	10	1	wild	medium	acceptable					
702	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	henslowii										12.5		6.5	427	wild	medium	acceptable					
703	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	leconteii												4.1	427	wild	medium	acceptable					
704	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	maritimus	365	365	12		4	2				20	0.544	9	1	wild	medium	acceptable					
705	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	nelsoni										15.2		7.1	427	wild	medium	acceptable					
706	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Ammodramus	savannarum	365	365	11		4	2		2		17.6		9.1	427	wild	medium	acceptable	0.4		0.1796	13.8	
707	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Amphispiza	bilineata			12		3	2		1.7		13.5		6	580	wild	medium	acceptable			0.1988	11.6	
708	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Arremonops	rufivirgatus					3.5					22.4		8.2	427	wild	medium	acceptable					
709	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Artemisiospiza	belli										17.1		9.1	427	wild	medium	acceptable					
710	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Calamospiza	melanocorys	365	365	12		5	1		3.28		32.6		4.8	427	wild	medium	acceptable					
711	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Chondestes	grammacus			12		4	1.5		2.2		27.1		7.8	580	wild	small	acceptable					
712	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	aureola										19.6		7	450	wild	medium	acceptable					
713	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	calandra	365	365								48.8		10.6	450	wild	medium	acceptable					
714	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	cirlus	365	365								25.6		6.1	729	wild	medium	acceptable					
715	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	citrinella	365	365								29.7		13.2	450	wild	medium	acceptable			0.436	26.8	
716	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	hortulana										19.9		6.8	450	wild	medium	acceptable			0.407	27	
717	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	melanocephala										28.4		11	972	wild	medium	acceptable					
718	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza	schoeniclus	365	365								18.4		12.2	450	wild	medium	acceptable			0.3	17.6	
719	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	hyemalis	365	365	11		4	1.5		2.3		19		11.3	818	wild	large	acceptable			0.2959	18	
720	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	phaeonotus	365	365	13		2	1.5		2.42		20		6.6	580	wild	small	acceptable					
721	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melospiza	georgiana	365	365	13		4	1.5		1.46		16.1		7.8	427	wild	medium	acceptable			0.211	14.9	
722	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melospiza	lincolnii	365	365	11		4	1		1.69		17.35		7.6	580	wild	medium	acceptable					
723	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melospiza	melodia	365	365	12		4	2.5		1.5		22.7		11.3	580	wild	medium	acceptable			0.25	19.1	
724	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melozone	aberti	365	365	14		3	1.5		3.63		46	0.476	8.6	580	wild	medium	acceptable			0.73425	46.6	
725	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melozone	crissalis			13			2				47		12.8	445	wild	medium	acceptable					
726	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Melozone	fusca	365	365	11		3	2.5				44.4		12.8	580	wild	small	acceptable			0.670615	43.7	
727	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerculus	sandwichensis	365	365	12		4	1		1.7		20.2		18	"Julie Zickefoose, pers. comm."	captivity	medium	acceptable			0.221	15.9	
728	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerella	iliaca			13		4	1		2.7		35.5		10.3	427	wild	medium	acceptable					
729	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Peucaea	aestivalis	365	365	13		4	2		1.91		19.6		3.9	427	wild	medium	acceptable					
730	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo	chlorurus	365	365	12		4			3.8		28.88		7.7	580	wild	small	acceptable					
731	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo	erythrophthalmus	365	365	12		4			3.1		39.4	0.488	12.3	580	wild	medium	acceptable					
732	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo	maculatus	730	730								40.4		11	427	wild	medium	acceptable					
733	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pooecetes	gramineus	365	365	12		4	2		2		25.7	0.624	7.9	577	wild	medium	acceptable			0.27412	21.5	
734	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Spizella	breweri	365	365	11		3	1		1.32		11	0.545	6.2	818	wild	medium	acceptable					
735	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Spizella	pallida	335	335	12		4	1		1.2		11.45		6.9	427	wild	small	acceptable					
736	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Spizella	passerina	365	365	12		4	2		1.3		12.2	0.544	11.8	427	wild	large	acceptable			0.1945	11.9	
737	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Spizella	pusilla	365	365	12		4					12.5	0.621	10.3	427	wild	medium	acceptable					
738	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Spizelloides	arborea	365	365	12		4	1		1.6		16.6		10.8	427	wild	large	acceptable					
739	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Zonotrichia	albicollis	365	365	13		4	1.5		2.8		21.1	0.627	14.9	427	wild	medium	acceptable			0.278	20.2	
740	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Zonotrichia	atricapilla	365	365	12		4	1.5		3.1		31.55	0.632	10.5	580	wild	large	acceptable					
741	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Zonotrichia	leucophrys	365	365	12		4	1.5		2.7		25.82	0.512	13.3	427	wild	large	acceptable			0.336	26.1	
742	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Zonotrichia	querula	365	365	13		4	1		3.1		33.1		11.7	580	wild	medium	acceptable			0.4552	33.3	
743	Animalia	Chordata	Aves	Passeriformes	Estrildidae	Erythrura	gouldiae			13							12		6	986	captivity	large	acceptable					
744	Animalia	Chordata	Aves	Passeriformes	Estrildidae	Lonchura	oryzivora			14			2.5				24.8				unknown	large	low					
745	Animalia	Chordata	Aves	Passeriformes	Estrildidae	Lonchura	striata										12.3	0.219	10	2	unknown	medium	acceptable	0.1	2.5	0.21538	10.3	
746	Animalia	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	guttata	60	60								12		12	405	unknown	large	acceptable					314.15
747	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Acanthis	flammea	365	365	10		5	2		1.3		14.2		12.2	450	wild	medium	acceptable			0.2888	14	
748	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Acanthis	hornemanni	365	365	12		4	1		1.3		19.25		6.8	427	wild	medium	acceptable					
749	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Carduelis	carduelis	365	365								16		27		unknown	medium	acceptable					
750	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Carduelis	citrinella	365	365								12				unknown	small	low					
751	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Carpodacus	erythrinus	365	365								24		9	729	wild	medium	acceptable			0.358	21.6	
752	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Chloris	chloris	365	365								26		13.6	450	wild	medium	acceptable					
